HolderAddress,Balance
0x347EA8F11D4FB6964cf37d7FbF46862a562dF120,11387.348293177960955904
0x74aa71cCA2bE62417FA2F058Fbd9629535594466,11367.587333487935411492
0x150A9fC10CaC752F29aa171dBC57293Fbf20E3Fb,11355.147313776
0xdaEBf37aAeaf474CC4Ad9ae2b938F8805BeF8a55,11337.566994276761765017
0x3F6F3e5754D3cc85eC9dda3652f162b61df67a83,11257.427041186749603304
0xE9d3DC083e100B5911584274b9929Fe7E1cB1bFC,11148.861022667583766185
0x4ed1cE89906c88dd781F86C750eD02Ce8c32e22b,11096.382543751122873246
0x182D565da9a0B7b2895b66EC75417FD392e00Bc4,11095.166232330032030557
0x8EdE0E19EdD0483E74b06aC5617bb41Ea5819Bb4,11067.36612200161291925
0x0868d5Febf18badab2Ab1C34455C2a28f736DE04,11041.858575121406892767
0xC05442b2bCc434F0949A1d80b9C7DCb35B2C7ee1,10988.934337618465068578
0x24555B39D91e53C4c7811219EcE75B15fD9eAbc3,10935.765325035617190867
0xC901560373B02b55bBeB546736926C6cAf8aDF1C,10884.221489517533594744
0x523Bc377C49F55B32572Cbe30cBf8E82EeCCB097,10675.397974677034959618
0x421388a1C547575C614e544f808021D580688263,10521.304967943363672803
0x07418A175D26189bea5EdCF93E45D6c6425fD55a,10415.122483049038281397
0xf79a219D45FA3f43131A644ce1B704e393E905AF,10253
0x04fa5c3869dEd7D00f36f13597A2f46aEe4C9220,10228.749835485477935372
0xA10ca059325AA484d003ab3054484d2582dd15c6,10202.791527658673199621
0x073dCE7Af1097719097a1CF663C159fe42629E25,10130.357399035245920256
0x8FE77121DD953f4184155848c1a24Ee32543cd71,10046.496198310023746816
0x0C87Fc6Ec2a40E3Cc946fDBdfDe7421742427647,10037.177630734864440341
0xD02741Ed15C7B5eFDB9677c12BA1BCfE49579c1a,1E+4
0x2C2Bef414c54e79e853f10556B05ad1B034e74D0,1E+4
0x9725D57ee12c54FC98508BaBe9e8E0B5773eCAD0,9917.515432804408217983
0xA25DBBE65d4058DD15255d4E036CCbfb5fA1141F,9.91E+3
0x54DA15b96E01cFB8BDb6e3388F2FF287eb6f91E5,9776.833986201064154417
0x38A7f09D56329ba8b0518Bd8F978e40209eb7032,9715.771784547230878201
0x121b03cB718BB2c9D51B450529e420213a313D30,9646.562586923343411892
0xd606E1800eC831F9e63dd53DcFB8a53583faA533,9543.201179568504360346
0x607f3f72AEf179a4c6Bc359220B91a390f10A573,9513.084915829413361341
0x594183C914743d1B47CedfC0dca936b354bac4e1,9483.111047150161006516
0x5f9F8Df261b0F86b0e96ddE291B65336cb699a33,9437.785309889066632965
0x009F40fE9cfb8b954F643238c095FB91b49aAade,9435.446811062417613496
0x1BCCe88F517240A0B44bbb33BeD6A52718664AAd,9379.720527732789987798
0x0FE1956f46a7BCEAB2D9A3a7389FC1B613a3c2eC,9092.551262148341688874
0x50C1557D66C343482dAe58395C0cA6C62a676579,9047.02728037737282112
0x618fAB1715D84Bd5dE8acE015613314bc581Df71,8986.368262543077650202
0x6198A3fC942aFdc51649F9E30f2501743725E2f9,8981.704739203870352861
0xf60d22bc52A30119374D58F1f9bBE8926b92beac,8976.635189212047182026
0x3154ED0D1f39acBf1d2cc36f6Ee3069Fc36c4Cf8,8870.090121385297688886
0x34e36a53e6936ABc11b10C5C6689bfA056cfa3c1,8825.421957863354310607
0x6852495d893b1F9082A4875AdC1E789BF6D3928E,8760.544035887479077215
0x7a234311b88c4d374844403C250fE528dCc2990C,8740.172184234225950405
0x68c905040BcA2Ed08223621b1305E61CB83a5192,8685.536016676944981288
0xe23b96caB9Cf2907ddC5d268cd336746E9d591Cc,8653.015671919320474316
0x1b70BC2122F909C1bd52cEB9E4A07d5dfEcE4b33,8.55E+3
0xC8160b24922664d9b3CF7f0acBC149dC33917d15,8505.087758815614053874
0x9903F1e3Cd790BcBB5fc52eEE543364F09793060,8501.212901950266835268
0xdaF077E495AFFf920C4991d30f177193BfA6537C,8415.101552797430179935
0x6192a758e431051f28e27EcfF388FF99ee998F2e,8130.56381607802449529
0x6851d524707D9d14a6B6F8338079472aee54cA22,8080.800487165926192738
0x0d7eE03D5b9F9b1d0618083d398D93e3d28CD458,8036.536845596612721969
0xe1f07838A9172A05a788BB8B5777938F9315F322,7775.003378769289027401
0x23e730e46284C706A511b026D514B04f111d0Cb9,7737.33399250007675535
0xB646B7c01899086ec2e428a73C8239Df9Bd409E9,7733.766751414680486305
0x2362a9dC3dD52AD56f38dBbB1b822840b6D3Ed5A,7468.810637660297149027
0x0DA2a82ED2c387d1751ccbAf999A80b65bdb269E,7367.710512786460490387
0x2FFf1724EA0d1AC4c0BD015307F3783988643bEb,7353.886346312219186411
0x9Ff832E537F061103B470499Af19BA9F01E6398B,7296.560916263544917089
0xC7429d38ab2197b2Ab1d22685616b07F96739af0,6970.603677423594034413
0x7664a2F15707E104972Ce1A3917913eDD058ebe3,6969.997465395801174113
0x040E473583254C5f99088182Bb3536551Eeb268E,6938.346153502387208029
0xC3C99D115B4e9f9494970473D4331b57940ab874,6832.535428554469715154
0xA6c4C9aAdb9c27C1AB6FC9b0dC1CF6579936b5b6,6754.842551791402745912
